# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
OG0012459	AT3G27880.1	***	Protein of unknown function (DUF1645)		
OG0012458	tr|A0A2P5C551|A0A2P5C551_TREOI	***	Serine/threonine protein kinase		
OG0012457	tr|A0A2P5D8Y3|A0A2P5D8Y3_PARAD	***	Proteasome assembly chaperone		
OG0012456	tr|A0A0A0KP35|A0A0A0KP35_CUCSA	***	Cinnamoyl-CoA reductase 13		
OG0012455	AT5G14680.1	***	Adenine nucleotide alpha hydrolases-like superfamily protein		
OG0000470	tr|A0A0A0KEW1|A0A0A0KEW1_CUCSA	***	Agglutinin domain-containing protein		
OG0012454	tr|A0A1S3C8M7|A0A1S3C8M7_CUCME	***	myb-related protein 340-like		
OG0000471	tr|A0A6J1IQY1|A0A6J1IQY1_CUCMA	***	salicylic acid-binding protein 2-like		
OG0012453	tr|A0A5A7T7L1|A0A5A7T7L1_CUCME	***	Transcription factor MYB98		
OG0000472	tr|A0A5A7ULI5|A0A5A7ULI5_CUCME	*-*	ULP_PROTEASE domain-containing protein		
OG0012452	tr|A0A6J1JV71|A0A6J1JV71_CUCMA	***	phosphoenolpyruvate/phosphate translocator 2, chloroplastic-like		
OG0000473	tr|A0A6A1VPV0|A0A6A1VPV0_9ROSI	***	EngB-type G domain-containing protein		
OG0012451	tr|A0A0A0KR45|A0A0A0KR45_CUCSA	***	Glutaredoxin		
OG0000474	tr|A0A1S3C5D4|A0A1S3C5D4_CUCME	***	protein NRT1/ PTR FAMILY 2.7-like		
OG0012450	tr|A0A0A0KP32|A0A0A0KP32_CUCSA	***	Isocitrate dehydrogenase [NADP]		
OG0000475	tr|A0A1S3C324|A0A1S3C324_CUCME	***	U11/U12 small nuclear ribonucleoprotein 31 kDa protein		
OG0000476			Unknown protein		
OG0000477	tr|A0A0A0KEB8|A0A0A0KEB8_CUCSA	***	Prolamin_like domain-containing protein		
OG0000478	tr|A0A6J1FGJ9|A0A6J1FGJ9_CUCMO	*-*	mitochondrial import inner membrane translocase subunit TIM44-2		
OG0000479	tr|A0A5D3BLW8|A0A5D3BLW8_CUCME	***	Ankyrin repeat-containing protein		
OG0024428	AT1G17870.1	*-*	ethylene-dependent gravitropism-deficient and yellow-green-like 3		
OG0024429	tr|A0A6J1G9J9|A0A6J1G9J9_CUCMO	*-*	lys-63-specific deubiquitinase BRCC36-like		
OG0000459	tr|A0A5A7U4U0|A0A5A7U4U0_CUCME	***	Protease inhibitor protein		
OG0024426	tr|A0A6J1FA45|A0A6J1FA45_CUCMO	*-*	WD and tetratricopeptide repeats protein 1-like		
OG0024427	tr|A0A5A7T532|A0A5A7T532_CUCME	*-*	Keratin, type I cytoskeletal 9-like		
OG0024424	tr|A0A1S4E5M8|A0A1S4E5M8_CUCME	*-*	Omega-protein		
OG0024425	tr|A0A0A0LJH3|A0A0A0LJH3_CUCSA	*-*	Gamma-glutamylcyclotransferase		
OG0024422			Unknown protein		
OG0024423	AT4G11550.1	*-*	Cysteine/Histidine-rich C1 domain family protein		
OG0024420	tr|A0A1S3BYL9|A0A1S3BYL9_CUCME	*-*	Ubiquitin carboxyl-terminal hydrolase		
OG0024421	tr|A0A1S3C0A1|A0A1S3C0A1_CUCME	*-*	Ubiquitin carboxyl-terminal hydrolase		
OG0012439			Unknown protein		
OG0012438	tr|A0A1S3C9A5|A0A1S3C9A5_CUCME	***	altered inheritance of mitochondria protein 32-like		
OG0012448	tr|A0A6A1VDE7|A0A6A1VDE7_9ROSI	***	Chaperone protein DnaJ		
OG0012447	tr|A0A1S3C8S9|A0A1S3C8S9_CUCME	***	sirohydrochlorin ferrochelatase, chloroplastic		
OG0012446	AT5G14550.1	***	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein		
OG0012445	tr|A0A5D3BVA7|A0A5D3BVA7_CUCME	***	DUF761 domain-containing protein		
OG0012444	tr|A0A5D3BTR0|A0A5D3BTR0_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0012443	tr|A0A0A0KSE8|A0A0A0KSE8_CUCSA	***	LOB domain-containing protein		
OG0000460	tr|A0A5A7VKE5|A0A5A7VKE5_CUCME	*-*	Protein RALF-like 32		
OG0012442	tr|A0A6J1FHD8|A0A6J1FHD8_CUCMO	***	cyclin-dependent protein kinase inhibitor SMR6		
OG0000461	tr|B9RSK4|B9RSK4_RICCO	***	Cytochrome P450, putative		
OG0012441	tr|A0A6J1H9W9|A0A6J1H9W9_CUCMO	***	glycosylphosphatidylinositol anchor attachment 1 protein-like		
OG0000462	tr|A0A1S3B4N3|A0A1S3B4N3_CUCME	***	spermidine hydroxycinnamoyl transferase-like		
OG0012440	tr|A0A1S3C888|A0A1S3C888_CUCME	***	ABC transporter B family member 26, chloroplastic-like		
OG0000463	tr|A0A0A0KI50|A0A0A0KI50_CUCSA	***	TF-B3 domain-containing protein		
OG0000464	tr|A0A5A7SHS5|A0A5A7SHS5_CUCME	***	AAA-ATPase		
OG0000465	tr|A0A1S3CGQ6|A0A1S3CGQ6_CUCME	***	S-protein homolog		
OG0000466	tr|A0A5D3CIZ8|A0A5D3CIZ8_CUCME	*-*	Mediator of RNA polymerase II transcription subunit 12-like isoform X1		
OG0024419	tr|A0A0A0LCR3|A0A0A0LCR3_CUCSA	***	Protein-serine/threonine phosphatase		
OG0000467	AT2G39210.1	***	Major facilitator superfamily protein		
OG0000468	tr|A0A5A7V8N0|A0A5A7V8N0_CUCME	*-*	Ulp1-like peptidase		
OG0024417			Unknown protein		
OG0000469	tr|A0A0A0L3W1|A0A0A0L3W1_CUCSA	***	Proteinase inhibitor I25, cystatin		
OG0024418	tr|A0A1S3B840|A0A1S3B840_CUCME	*-*	gibberellin-regulated protein 14		
OG0024499	tr|A0A6J1BV08|A0A6J1BV08_MOMCH	*-*	signal recognition particle 54 kDa protein, chloroplastic		
OG0024497	tr|A0A1S3BMJ6|A0A1S3BMJ6_CUCME	*-*	transcription factor GTE4-like		
OG0024498	tr|A0A5A7SLG5|A0A5A7SLG5_CUCME	*-*	Pentatricopeptide repeat-containing protein		
OG0024495	tr|A0A1S3C2Z0|A0A1S3C2Z0_CUCME	*-*	synaptotagmin-3 isoform X1		
OG0024496	tr|A0A1S3BMJ6|A0A1S3BMJ6_CUCME	*-*	transcription factor GTE4-like		
OG0024493	tr|A0A1S3CS54|A0A1S3CS54_CUCME	*-*	Beta-galactosidase		
OG0024494	tr|A0A0A0KFU3|A0A0A0KFU3_CUCSA	***	CCHC-type domain-containing protein		
OG0024491	tr|A0A0A0KI31|A0A0A0KI31_CUCSA	*-*	3-hydroxyacyl-CoA dehydrogenase		
OG0024492	tr|A0A1S3BDS5|A0A1S3BDS5_CUCME	*-*	protein PLASTID MOVEMENT IMPAIRED 1-RELATED 1-like		
OG0024490	AT2G28740.1	***	histone H4		
OG0024488			Unknown protein		
OG0024489	tr|A0A1S3CKL0|A0A1S3CKL0_CUCME	***	UPF0503 protein At3g09070, chloroplastic		
OG0024486	tr|A0A2K3N7X1|A0A2K3N7X1_TRIPR	*-*	Integral membrane protein hemolysin-III-like protein		
OG0024487	tr|A0A0A0KDM5|A0A0A0KDM5_CUCSA	*-*	DNA polymerase epsilon catalytic subunit		
OG0024484	tr|A0A0A0KAP4|A0A0A0KAP4_CUCSA	*-*	Agglutinin domain-containing protein		
OG0024485	tr|A0A0A0KAP4|A0A0A0KAP4_CUCSA	*-*	Agglutinin domain-containing protein		
OG0024482	tr|A0A1S3CBA2|A0A1S3CBA2_CUCME	*-*	inactive leucine-rich repeat receptor-like protein kinase CORYNE		
OG0024483	tr|A0A5D3DM54|A0A5D3DM54_CUCME	*-*	Squamosa promoter-binding-like protein 16		
OG0024480	AT5G18490.1	*-*	Plant protein of unknown function (DUF946)		
OG0024481	tr|A0A0A0KC19|A0A0A0KC19_CUCSA	*-*	Cytochrome P450		
OG0024479	tr|A0A0A0KEZ6|A0A0A0KEZ6_CUCSA	*-*	Ubiquitin-like domain-containing protein		
OG0024477	tr|A0A0A0K9K5|A0A0A0K9K5_CUCSA	*-*	Hydrolase_4 domain-containing protein		
OG0024478			Unknown protein		
OG0024475			Unknown protein		
OG0024476	tr|A0A1S3C3I1|A0A1S3C3I1_CUCME	*-*	30S ribosomal protein S1 homolog A isoform X1		
OG0024473	tr|A0A1S3CA41|A0A1S3CA41_CUCME	*-*	cell polarity protein mor2		
OG0024474			Unknown protein		
OG0024471	tr|B9RL32|B9RL32_RICCO	*-*	ATP-dependent RNA helicase, putative		
OG0024472	tr|A0A2K3NYU9|A0A2K3NYU9_TRIPR	*-*	GTPase OBG		
OG0024470	tr|A0A1S3BEW8|A0A1S3BEW8_CUCME	*-*	cyclic dof factor 1		
OG0012499	tr|A0A061E7V9|A0A061E7V9_THECC	***	Plant invertase/pectin methylesterase inhibitor superfamily protein		
OG0012498	tr|A0A0A0KRH9|A0A0A0KRH9_CUCSA	***	Endoglucanase		
OG0012497	tr|A0A1S3CSY6|A0A1S3CSY6_CUCME	***	Dynein light chain		
OG0012496	tr|A0A0A0KPC5|A0A0A0KPC5_CUCSA	***	(1->3)-beta-glucan endohydrolase		
OG0012495	tr|A0A1S3CTU7|A0A1S3CTU7_CUCME	***	E3 ubiquitin protein ligase RIE1		
OG0012494	tr|A0A5D3CT85|A0A5D3CT85_CUCME	***	Ankyrin repeat-containing protein		
OG0012493	tr|A0A0A0KST2|A0A0A0KST2_CUCSA	***	Polcalcin Jun o		
OG0012492	tr|A0A6J1E725|A0A6J1E725_CUCMO	***	histone-lysine N-methyltransferase setd3		
OG0012491	tr|A0A6J1GN40|A0A6J1GN40_CUCMO	***	nudix hydrolase 17, mitochondrial-like		
OG0012490	tr|A0A5A7TYP1|A0A5A7TYP1_CUCME	***	Zinc finger protein VAR3		
OG0024468			Unknown protein		
OG0024469	tr|A0A0A0KV61|A0A0A0KV61_CUCSA	*-*	Protein transport protein SEC23		
OG0024466			Unknown protein		
OG0024467	tr|A0A5D3C3E1|A0A5D3C3E1_CUCME	*-*	Pentatricopeptide repeat-containing protein		
OG0024464			Unknown protein		
OG0024465			Unknown protein		
OG0024462			Unknown protein		
OG0024463			Unknown protein		
OG0024460	tr|A0A5A7VPG1|A0A5A7VPG1_CUCME	***	BTB/POZ domain-containing protein		
OG0024461			Unknown protein		
OG0012489	tr|A0A6J1B255|A0A6J1B255_9ROSI	***	ubiquitin-conjugating enzyme E2 variant 1A		
OG0012488	tr|A0A1S3CSR6|A0A1S3CSR6_CUCME	***	cysteine-rich repeat secretory protein 12-like isoform X1		
OG0012487	tr|A0A0A0KUN7|A0A0A0KUN7_CUCSA	***	UBX domain-containing protein		
OG0012486	tr|A0A0A0KRG0|A0A0A0KRG0_CUCSA	***	MACPF domain-containing protein		
OG0012485	tr|A0A1S3CTX4|A0A1S3CTX4_CUCME	***	vacuolar iron transporter 1.1-like		
OG0012484	tr|A0A1S3CTX9|A0A1S3CTX9_CUCME	***	vacuolar iron transporter 1-like		
OG0012483	tr|A0A0A0KPD0|A0A0A0KPD0_CUCSA	***	B box-type domain-containing protein		
OG0012482	tr|A0A0A0KUR2|A0A0A0KUR2_CUCSA	***	ENTH domain-containing protein		
OG0012481	tr|A0A0A0KPA6|A0A0A0KPA6_CUCSA	***	THO complex subunit 2		
OG0012480	tr|A0A1S3CU07|A0A1S3CU07_CUCME	***	receptor protein kinase TMK1		
OG0000525	AT1G03270.1	*-*	CBS domain-containing protein with a domain of unknown function (DUF21)		
OG0000526			Unknown protein		
OG0000527	AT5G45750.1	***	RAB GTPase homolog A1C		
OG0000528	tr|A0A5A7VF47|A0A5A7VF47_CUCME	***	GDSL esterase/lipase		
OG0000529	tr|A0A5D3CKX9|A0A5D3CKX9_CUCME	***	Calcineurin B-like protein 1		
OG0012509			Unknown protein		
OG0012508	tr|A0A0A0KRJ0|A0A0A0KRJ0_CUCSA	***	C2 domain-containing protein		
OG0012507	tr|K7ZTC9|K7ZTC9_CUCSA	***	DELLA protein		
OG0012506	tr|A0A1S3AUR2|A0A1S3AUR2_CUCME	***	NAD(P)H-quinone oxidoreductase subunit L, chloroplastic		
OG0012505	tr|A0A0A0KUU9|A0A0A0KUU9_CUCSA	***	Protein BCCIP homolog		
OG0012504	tr|A0A5A7TYA4|A0A5A7TYA4_CUCME	***	U-box domain-containing protein 4		
OG0012514	tr|A0A0A0KPL0|A0A0A0KPL0_CUCSA	***	H15 domain-containing protein		
OG0012513	tr|A0A0A0KRK7|A0A0A0KRK7_CUCSA	***	O-fucosyltransferase family protein		
OG0012512	tr|A0A1S3CT02|A0A1S3CT02_CUCME	***	LOW QUALITY PROTEIN: uncharacterized protein LOC103504559		
OG0012511	tr|A0A1S3AUM2|A0A1S3AUM2_CUCME	***	CLAVATA3/ESR (CLE)-related protein 17-like		
OG0012510	tr|A0A5D3E3V5|A0A5D3E3V5_CUCME	***	Senescence-associated protein		
OG0000530	tr|A0A0A0LAU4|A0A0A0LAU4_CUCSA	***	TPT domain-containing protein		
OG0000531	tr|A0A1S3BU02|A0A1S3BU02_CUCME	***	26S proteasome regulatory subunit RPN11		
OG0000532	tr|A0A1S3ATN1|A0A1S3ATN1_CUCME	*-*	Acyl-coenzyme A oxidase		
OG0000533	tr|A0A6J1JIG3|A0A6J1JIG3_CUCMA	***	beta-taxilin		
OG0000534	tr|A0A1S4E265|A0A1S4E265_CUCME	***	transcription factor ABORTED MICROSPORES isoform X1		
OG0000535	tr|B9S635|B9S635_RICCO	***	Monodehydroascorbate reductase, putative		
OG0000514	tr|A0A6J1EIM2|A0A6J1EIM2_CUCMO	***	Glycosyltransferase		
OG0000515	tr|A0A5A7TV44|A0A5A7TV44_CUCME	*-*	DUF1338 domain-containing protein		
OG0000516	tr|A0A5D3DSB3|A0A5D3DSB3_CUCME	***	G-type lectin S-receptor-like serine/threonine-protein kinase		
OG0000517			Unknown protein		
OG0000518	sp|Q4VZP1|RPOB_CUCSA	***	DNA-directed RNA polymerase subunit beta		
OG0000519	tr|A0A5D3D732|A0A5D3D732_CUCME	*-*	Subtilisin-like protease SBT5.3		
OG0012503	tr|A0A6J1JQK2|A0A6J1JQK2_CUCMA	***	myosin-binding protein 2-like		
OG0012502	tr|A0A1S3CSD8|A0A1S3CSD8_CUCME	***	HMG-Y-related protein A		
OG0012501	tr|A0A0A0KSV4|A0A0A0KSV4_CUCSA	***	Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)		
OG0012500	tr|A0A0A0KUU2|A0A0A0KUU2_CUCSA	***	Pectinesterase		
OG0000520	tr|A0A6J1F2B9|A0A6J1F2B9_CUCMO	*-*	60S ribosomal protein L21-1		
OG0000521	tr|A0A0A0LBN3|A0A0A0LBN3_CUCSA	*-*	3'-5' exonuclease domain-containing protein		
OG0000522	tr|A0A1S3B8J4|A0A1S3B8J4_CUCME	***	Carboxypeptidase		
OG0000523	tr|A0A5A7V6Y1|A0A5A7V6Y1_CUCME	***	F21D18.14		
OG0000524	tr|A0A0A0L2R1|A0A0A0L2R1_CUCSA	***	AP2/ERF domain-containing protein		
OG0000503	tr|A0A1S3BCY5|A0A1S3BCY5_CUCME	***	UPF0481 protein At3g47200-like		
OG0000504	tr|A0A1S4DV59|A0A1S4DV59_CUCME	***	DNA topoisomerase 2-binding protein 1 isoform X2		
OG0000505	tr|A0A6J1HDC8|A0A6J1HDC8_CUCMO	***	dihydrofolate reductase-like		
OG0000506	tr|A0A1D6KRE0|A0A1D6KRE0_MAIZE	***	Membrane steroid-binding protein 1		
OG0000507	AT1G48750.1	***	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein		
OG0000508	tr|A0A0A0L3Q6|A0A0A0L3Q6_CUCSA	***	U6 snRNA-associated Sm-like protein LSm4		
OG0000509	tr|A0A6J1DVR6|A0A6J1DVR6_MOMCH	***	protein FAR-RED ELONGATED HYPOCOTYL 3-like		
OG0000510	tr|A0A0A0KEW2|A0A0A0KEW2_CUCSA	***	Fatty acyl-CoA reductase		
OG0000511	ATMG00510.1	***	NADH dehydrogenase subunit 7		
OG0000512	tr|A0A1S3AZH8|A0A1S3AZH8_CUCME	***	GDSL esterase/lipase At1g28570-like		
OG0000513	tr|Q52UN0|Q52UN0_CUCSA	*-*	Peptidyl-prolyl cis-trans isomerase		
OG0000500	tr|A0A1S3CL06|A0A1S3CL06_CUCME	***	Protein DETOXIFICATION		
OG0000501	tr|A0A1S3CHP0|A0A1S3CHP0_CUCME	***	S-protein homolog		
OG0000502	tr|A0A1S3BS25|A0A1S3BS25_CUCME	***	(R)-mandelonitrile lyase 1-like		
OG0000569	tr|A0A1S3CGI6|A0A1S3CGI6_CUCME	***	protein argonaute 5		
OG0024536	tr|A0A1S3CDX9|A0A1S3CDX9_CUCME	*-*	WD repeat-containing protein 43		
OG0024537	tr|A0A1S3CGB8|A0A1S3CGB8_CUCME	*-*	protein NRT1/ PTR FAMILY 1.2-like		
OG0024534			Unknown protein		
OG0024535	tr|A0A0A0KBP1|A0A0A0KBP1_CUCSA	*-*	Protein kinase domain-containing protein		
OG0024532			Unknown protein		
OG0024533	tr|A0A1R3KCU8|A0A1R3KCU8_COCAP	*-*	Zinc finger, PHD-type		
OG0024530	tr|A0A6J1H936|A0A6J1H936_CUCMO	*-*	peroxisome biogenesis protein 6		
OG0024531	tr|A0A0A0K7X4|A0A0A0K7X4_CUCSA	*-*	Endoglucanase		
OG0012549	tr|A0A0A0KPK8|A0A0A0KPK8_CUCSA	***	Phosphoenolpyruvate carboxylase		
OG0012548	tr|A0A5D3BKC7|A0A5D3BKC7_CUCME	***	Chaperone protein dnaJ 15-like		
OG0012558	tr|A0A0A0KPQ8|A0A0A0KPQ8_CUCSA	***	FAD synthase		
OG0012557	tr|A0A4U5N8U3|A0A4U5N8U3_POPAL	***	Myosin-related family protein		
OG0012556	tr|A0A5D3BKD8|A0A5D3BKD8_CUCME	***	Transcription factor CYCLOIDEA		
OG0012555	tr|A0A1S3CSZ9|A0A1S3CSZ9_CUCME	***	protein CHUP1, chloroplastic-like		
OG0012554	tr|A0A1S3CUA2|A0A1S3CUA2_CUCME	***	clavaminate synthase-like protein At3g21360		
OG0012553	tr|A0A1S3CT67|A0A1S3CT67_CUCME	***	protein decapping 5-like		
OG0000570	tr|A0A0A0LHR9|A0A0A0LHR9_CUCSA	***	BHLH domain-containing protein		
OG0012552	tr|A0A5N5FKV5|A0A5N5FKV5_9ROSA	*-*	Protein IDA-like		
OG0000571	tr|A0A445BII7|A0A445BII7_ARAHY	-**	TF-B3 domain-containing protein		
OG0012551	tr|A0A1S3CSZ4|A0A1S3CSZ4_CUCME	***	protein MIZU-KUSSEI 1-like		
OG0000572	tr|A0A1S3CSK5|A0A1S3CSK5_CUCME	*-*	serine/threonine-protein kinase STY46-like isoform X3		
OG0012550	tr|A0A1S3CT01|A0A1S3CT01_CUCME	***	nudix hydrolase 1-like		
OG0000573	tr|A0A7J6V253|A0A7J6V253_THATH	***	Calcineurin b-like protein		
OG0000574	tr|A0A1S3C2Z1|A0A1S3C2Z1_CUCME	***	Protein DETOXIFICATION		
OG0000575	sp|P33629|TBA_PRUDU	***	Tubulin alpha chain		
OG0000576	sp|O81221|ACT_GOSHI	***	Actin		
OG0024529			Unknown protein		
OG0000577	tr|B9RNX1|B9RNX1_RICCO	***	Chaperone clpb, putative		
OG0000578	sp|Q9FE62|YLS8_ARATH	***	Thioredoxin-like protein YLS8		
OG0024527	tr|A0A5D3BF32|A0A5D3BF32_CUCME	*-*	Protein MNN4-like		
OG0000579	tr|A0A1S3C9Z0|A0A1S3C9Z0_CUCME	***	TMV resistance protein N-like		
OG0024528	tr|A0A5A7UUW8|A0A5A7UUW8_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0000558	tr|A0A1S3CN16|A0A1S3CN16_CUCME	***	Non-specific serine/threonine protein kinase		
OG0024525			Unknown protein		
OG0000559	tr|A0A1S3BG18|A0A1S3BG18_CUCME	***	serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform		
OG0024526			Unknown protein		
OG0024523			Unknown protein		
OG0024524			Unknown protein		
OG0024521	tr|A0A1S3BZC3|A0A1S3BZC3_CUCME	*-*	phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and protein-tyrosine-phosphatase PTEN2A		
OG0024522	tr|A0A6J1IBB4|A0A6J1IBB4_CUCMA	*-*	ABSCISIC ACID-INSENSITIVE 5-like protein 6		
OG0024520	tr|A0A1S3C1P0|A0A1S3C1P0_CUCME	*-*	7-deoxyloganetin glucosyltransferase-like		
OG0012539			Unknown protein		
OG0012538	tr|A0A5D3BMQ3|A0A5D3BMQ3_CUCME	***	Two-component response regulator ARR11 isoform X3		
OG0012537	tr|A0A6J1DDH9|A0A6J1DDH9_MOMCH	***	zinc finger CCCH domain-containing protein 15-like		
OG0012547	AT1G68390.1	***	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein		
OG0012546	tr|A0A5D3BQ94|A0A5D3BQ94_CUCME	***	Nicotinamide adenine dinucleotide transporter 1		
OG0012545	AT1G66890.1	***	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: 50S rib s in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 36; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).		
OG0012544	AT2G01260.1	***	Protein of unknown function (DUF789)		
OG0012543	AT1G68220.1	***	Protein of unknown function (DUF1218)		
OG0012542	tr|A0A0A0KPK3|A0A0A0KPK3_CUCSA	***	CTP_transf_like domain-containing protein		
OG0012541	tr|A0A0A0KRP8|A0A0A0KRP8_CUCSA	***	Protein kinase domain-containing protein		
OG0000560			Unknown protein		
OG0012540	tr|A0A0A0KPN7|A0A0A0KPN7_CUCSA	***	AB hydrolase-1 domain-containing protein		
OG0000561	tr|A0A0A0KA91|A0A0A0KA91_CUCSA	***	Cytochrome P450		
OG0000562	tr|A0A0A0KDN1|A0A0A0KDN1_CUCSA	***	Fatty acyl-CoA reductase		
OG0000563	tr|Q09PK3|Q09PK3_CUCSA	***	1-aminocyclopropane-1-carboxylate synthase		
OG0000564	tr|A0A1S3B0P9|A0A1S3B0P9_CUCME	***	transcription factor RAX2		
OG0000565	sp|Q52K95|PCP14_ARATH	*-*	Precursor of CEP14		
OG0024518	tr|A0A0A0K3U4|A0A0A0K3U4_CUCSA	***	PPM-type phosphatase domain-containing protein		
OG0000566	tr|A0A0A0KB08|A0A0A0KB08_CUCSA	***	Protein kinase domain-containing protein		
OG0024519	tr|A0A6J1D2I7|A0A6J1D2I7_MOMCH	*-*	Diacylglycerol O-acyltransferase		
OG0000567	AT3G21340.1	***	Leucine-rich repeat protein kinase family protein		
OG0024516	tr|E7CEY2|E7CEY2_CUCSA	*-*	WRKY protein		
OG0000568	tr|A0A1S3BFK3|A0A1S3BFK3_CUCME	***	polyphenol oxidase, chloroplastic-like		
OG0024517	tr|A0A5A7SLF2|A0A5A7SLF2_CUCME	*-*	Pentatricopeptide repeat-containing protein		
OG0000547	tr|A0A5A7TE00|A0A5A7TE00_CUCME	***	F-box protein		
OG0024514	tr|A0A6A1VB60|A0A6A1VB60_9ROSI	*-*	Dynein assembly factor 1, axonemal		
OG0000548	tr|A0A0A0K471|A0A0A0K471_CUCSA	*-*	Phloem filament protein		
OG0024515	tr|A0A3S3MIK6|A0A3S3MIK6_9MAGN	***	2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase		
OG0000549	tr|A0A2K3NC01|A0A2K3NC01_TRIPR	***	40S ribosomal protein S30		
OG0024512	tr|A0A5A7SR65|A0A5A7SR65_CUCME	*-*	Histone-lysine N-methyltransferase ATXR3		
OG0024513			Unknown protein		
OG0024510	tr|A0A1S3CG35|A0A1S3CG35_CUCME	*-*	Cytochrome b561 and DOMON domain-containing protein		
OG0024511			Unknown protein		
OG0012529	tr|A0A1S3CSV7|A0A1S3CSV7_CUCME	***	homeobox-leucine zipper protein HOX3-like		
OG0012528	tr|A0A0A0KT02|A0A0A0KT02_CUCSA	***	Auxin efflux carrier component		
OG0012527	tr|A0A1S3CU56|A0A1S3CU56_CUCME	***	proline-rich receptor-like protein kinase PERK8		
OG0012526	tr|A0A5A7TWM8|A0A5A7TWM8_CUCME	***	Chaperone protein DnaJ isoform X1		
OG0012536			Unknown protein		
OG0012535	tr|A0A4Y1QRK7|A0A4Y1QRK7_PRUDU	***	2-oxoglutarate and Fe(II)-dependent oxygenase superfamily protein		
OG0012534	tr|A0A0A0KRN8|A0A0A0KRN8_CUCSA	***	Fructose-bisphosphate aldolase		
OG0012533	tr|A0A6J1HIM4|A0A6J1HIM4_CUCMO	***	CDP-diacylglycerol--serine O-phosphatidyltransferase 1-like		
OG0012532	tr|A0A0A0KT05|A0A0A0KT05_CUCSA	***	Acyl-[acyl-carrier-protein] hydrolase		
OG0012531	tr|A0A6J1DFK2|A0A6J1DFK2_MOMCH	***	histone chaperone ASF1B-like		
OG0012530	tr|A0A0A0KRN6|A0A0A0KRN6_CUCSA	***	BRO1 domain-containing protein		
OG0000550	tr|A0A6J1D340|A0A6J1D340_MOMCH	***	disease resistance protein RGA2-like		
OG0000551	tr|A0A0A0L4S0|A0A0A0L4S0_CUCSA	***	Pectinesterase		
OG0000552	tr|A0A5A7QX49|A0A5A7QX49_STRAF	***	Cytochrome P450		
OG0024509	tr|A0A0A0K513|A0A0A0K513_CUCSA	***	RING-type domain-containing protein		
OG0000553	tr|A0A1S4DSI2|A0A1S4DSI2_CUCME	***	DEAD-box ATP-dependent RNA helicase 40-like		
OG0000554	tr|A0A1S3CQ96|A0A1S3CQ96_CUCME	*-*	Phosphomevalonate kinase		
OG0024507	tr|E5GC34|E5GC34_CUCME	***	60S ribosomal protein l11		
OG0000555	tr|A0A1S4DV59|A0A1S4DV59_CUCME	***	DNA topoisomerase 2-binding protein 1 isoform X2		
OG0024508			Unknown protein		
OG0000556	tr|A0A5B7A9C3|A0A5B7A9C3_DAVIN	***	ATP-dependent DNA helicase		
OG0024505	tr|A0A2R6PXX3|A0A2R6PXX3_ACTCC	***	Late endosome and vacuole interface protein		
OG0000557	tr|A0A1S3ATS5|A0A1S3ATS5_CUCME	***	14 kDa proline-rich protein DC2.15-like		
OG0024506	tr|A0A5D3CP70|A0A5D3CP70_CUCME	*-*	Protein FRIGIDA-ESSENTIAL 1 isoform X2		
OG0000536	AT5G20840.1	***	Phosphoinositide phosphatase family protein		
OG0024503	AT2G17690.1	*-*	F-box family protein with a domain of unknown function (DUF295)		
OG0000537			Unknown protein		
OG0024504			Unknown protein		
OG0000538	tr|A0A5A7V6F1|A0A5A7V6F1_CUCME	***	Binding protein, putative isoform 1		
OG0024501	tr|A0A1S3B1I4|A0A1S3B1I4_CUCME	*-*	suppressor of RPS4-RLD 1		
OG0000539	tr|A0A5A7UJF8|A0A5A7UJF8_CUCME	*-*	ULP_PROTEASE domain-containing protein		
OG0024502	tr|A0A5D3CL94|A0A5D3CL94_CUCME	***	AAA-ATPase		
OG0024500			Unknown protein		
OG0012519			Unknown protein		
OG0012518	tr|A0A5D3E4I5|A0A5D3E4I5_CUCME	***	Protein PIN-LIKES 2		
OG0012517	tr|A0A0A0KPL4|A0A0A0KPL4_CUCSA	***	Ribose-5-phosphate isomerase		
OG0012516	tr|A0A0A0KSZ3|A0A0A0KSZ3_CUCSA	***	RING-CH-type domain-containing protein		
OG0012515			Unknown protein		
OG0012525	AT1G76640.1	***	Calcium-binding EF-hand family protein		
